
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      60000, Nsync-hyd:          0
Sync-Point 56, Time: 0.0820312, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 57, Time: 0.0834961, Systemstep: 0.00146484, Nsync-grv:      15246, Nsync-hyd:          0

Sync-Point 58, Time: 0.0849609, Systemstep: 0.00146484, Nsync-grv:      31953, Nsync-hyd:          0

Sync-Point 59, Time: 0.0864258, Systemstep: 0.00146484, Nsync-grv:      15239, Nsync-hyd:          0

Sync-Point 60, Time: 0.0878906, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 61, Time: 0.0893555, Systemstep: 0.00146484, Nsync-grv:      15236, Nsync-hyd:          0

Sync-Point 62, Time: 0.0908203, Systemstep: 0.00146484, Nsync-grv:      31891, Nsync-hyd:          0

Sync-Point 63, Time: 0.0922852, Systemstep: 0.00146484, Nsync-grv:      15254, Nsync-hyd:          0

Sync-Point 64, Time: 0.09375, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 65, Time: 0.0952148, Systemstep: 0.00146484, Nsync-grv:      15265, Nsync-hyd:          0

Sync-Point 66, Time: 0.0966797, Systemstep: 0.00146484, Nsync-grv:      31859, Nsync-hyd:          0

Sync-Point 67, Time: 0.0981445, Systemstep: 0.00146484, Nsync-grv:      15290, Nsync-hyd:          0

Sync-Point 68, Time: 0.0996094, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 69, Time: 0.101074, Systemstep: 0.00146484, Nsync-grv:      15285, Nsync-hyd:          0

Sync-Point 70, Time: 0.102539, Systemstep: 0.00146484, Nsync-grv:      31868, Nsync-hyd:          0

Sync-Point 71, Time: 0.104004, Systemstep: 0.00146484, Nsync-grv:      15283, Nsync-hyd:          0

Sync-Point 72, Time: 0.105469, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 73, Time: 0.106934, Systemstep: 0.00146484, Nsync-grv:      15271, Nsync-hyd:          0

Sync-Point 74, Time: 0.108398, Systemstep: 0.00146484, Nsync-grv:      31852, Nsync-hyd:          0

Sync-Point 75, Time: 0.109863, Systemstep: 0.00146484, Nsync-grv:      15260, Nsync-hyd:          0

Sync-Point 76, Time: 0.111328, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 77, Time: 0.112793, Systemstep: 0.00146484, Nsync-grv:      15244, Nsync-hyd:          0

Sync-Point 78, Time: 0.114258, Systemstep: 0.00146484, Nsync-grv:      31861, Nsync-hyd:          0

Sync-Point 79, Time: 0.115723, Systemstep: 0.00146484, Nsync-grv:      15257, Nsync-hyd:          0

Sync-Point 80, Time: 0.117188, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 81, Time: 0.118652, Systemstep: 0.00146484, Nsync-grv:      15272, Nsync-hyd:          0

Sync-Point 82, Time: 0.120117, Systemstep: 0.00146484, Nsync-grv:      31871, Nsync-hyd:          0

Sync-Point 83, Time: 0.121582, Systemstep: 0.00146484, Nsync-grv:      15270, Nsync-hyd:          0

Sync-Point 84, Time: 0.123047, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 85, Time: 0.124512, Systemstep: 0.00146484, Nsync-grv:      15289, Nsync-hyd:          0

Sync-Point 86, Time: 0.125977, Systemstep: 0.00146484, Nsync-grv:      31886, Nsync-hyd:          0

Sync-Point 87, Time: 0.127441, Systemstep: 0.00146484, Nsync-grv:      15275, Nsync-hyd:          0

Sync-Point 88, Time: 0.128906, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 89, Time: 0.130371, Systemstep: 0.00146484, Nsync-grv:      15256, Nsync-hyd:          0

Sync-Point 90, Time: 0.131836, Systemstep: 0.00146484, Nsync-grv:      31867, Nsync-hyd:          0

Sync-Point 91, Time: 0.133301, Systemstep: 0.00146484, Nsync-grv:      15247, Nsync-hyd:          0

Sync-Point 92, Time: 0.134766, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 93, Time: 0.13623, Systemstep: 0.00146484, Nsync-grv:      15280, Nsync-hyd:          0

Sync-Point 94, Time: 0.137695, Systemstep: 0.00146484, Nsync-grv:      31843, Nsync-hyd:          0

Sync-Point 95, Time: 0.13916, Systemstep: 0.00146484, Nsync-grv:      15302, Nsync-hyd:          0

Sync-Point 96, Time: 0.140625, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 97, Time: 0.14209, Systemstep: 0.00146484, Nsync-grv:      15333, Nsync-hyd:          0

Sync-Point 98, Time: 0.143555, Systemstep: 0.00146484, Nsync-grv:      31862, Nsync-hyd:          0

Sync-Point 99, Time: 0.14502, Systemstep: 0.00146484, Nsync-grv:      15352, Nsync-hyd:          0

Sync-Point 100, Time: 0.146484, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 101, Time: 0.147949, Systemstep: 0.00146484, Nsync-grv:      15385, Nsync-hyd:          0

Sync-Point 102, Time: 0.149414, Systemstep: 0.00146484, Nsync-grv:      31867, Nsync-hyd:          0

Sync-Point 103, Time: 0.150879, Systemstep: 0.00146484, Nsync-grv:      15405, Nsync-hyd:          0

Sync-Point 104, Time: 0.152344, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 105, Time: 0.153809, Systemstep: 0.00146484, Nsync-grv:      15442, Nsync-hyd:          0

Sync-Point 106, Time: 0.155273, Systemstep: 0.00146484, Nsync-grv:      31872, Nsync-hyd:          0

Sync-Point 107, Time: 0.156738, Systemstep: 0.00146484, Nsync-grv:      15445, Nsync-hyd:          0

Sync-Point 108, Time: 0.158203, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 109, Time: 0.159668, Systemstep: 0.00146484, Nsync-grv:      15458, Nsync-hyd:          0

Sync-Point 110, Time: 0.161133, Systemstep: 0.00146484, Nsync-grv:      31853, Nsync-hyd:          0

Sync-Point 111, Time: 0.162598, Systemstep: 0.00146484, Nsync-grv:      15478, Nsync-hyd:          0

Sync-Point 112, Time: 0.164062, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 113, Time: 0.165527, Systemstep: 0.00146484, Nsync-grv:      15490, Nsync-hyd:          0

Sync-Point 114, Time: 0.166992, Systemstep: 0.00146484, Nsync-grv:      31859, Nsync-hyd:          0

Sync-Point 115, Time: 0.168457, Systemstep: 0.00146484, Nsync-grv:      15478, Nsync-hyd:          0

Sync-Point 116, Time: 0.169922, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 117, Time: 0.171387, Systemstep: 0.00146484, Nsync-grv:      15481, Nsync-hyd:          0

Sync-Point 118, Time: 0.172852, Systemstep: 0.00146484, Nsync-grv:      31890, Nsync-hyd:          0

Sync-Point 119, Time: 0.174316, Systemstep: 0.00146484, Nsync-grv:      15486, Nsync-hyd:          0

Sync-Point 120, Time: 0.175781, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 121, Time: 0.177246, Systemstep: 0.00146484, Nsync-grv:      15472, Nsync-hyd:          0

Sync-Point 122, Time: 0.178711, Systemstep: 0.00146484, Nsync-grv:      31939, Nsync-hyd:          0

Sync-Point 123, Time: 0.180176, Systemstep: 0.00146484, Nsync-grv:      15473, Nsync-hyd:          0

Sync-Point 124, Time: 0.181641, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 125, Time: 0.183105, Systemstep: 0.00146484, Nsync-grv:      15464, Nsync-hyd:          0

Sync-Point 126, Time: 0.18457, Systemstep: 0.00146484, Nsync-grv:      31963, Nsync-hyd:          0

Sync-Point 127, Time: 0.186035, Systemstep: 0.00146484, Nsync-grv:      15461, Nsync-hyd:          0

Sync-Point 128, Time: 0.1875, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 129, Time: 0.188965, Systemstep: 0.00146484, Nsync-grv:      15462, Nsync-hyd:          0

Sync-Point 130, Time: 0.19043, Systemstep: 0.00146484, Nsync-grv:      32006, Nsync-hyd:          0

Sync-Point 131, Time: 0.191895, Systemstep: 0.00146484, Nsync-grv:      15448, Nsync-hyd:          0

Sync-Point 132, Time: 0.193359, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 133, Time: 0.194824, Systemstep: 0.00146484, Nsync-grv:      15432, Nsync-hyd:          0

Sync-Point 134, Time: 0.196289, Systemstep: 0.00146484, Nsync-grv:      32049, Nsync-hyd:          0

Sync-Point 135, Time: 0.197754, Systemstep: 0.00146484, Nsync-grv:      15423, Nsync-hyd:          0

Sync-Point 136, Time: 0.199219, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 137, Time: 0.200684, Systemstep: 0.00146484, Nsync-grv:      15420, Nsync-hyd:          0

Sync-Point 138, Time: 0.202148, Systemstep: 0.00146484, Nsync-grv:      32057, Nsync-hyd:          0

Sync-Point 139, Time: 0.203613, Systemstep: 0.00146484, Nsync-grv:      15406, Nsync-hyd:          0

Sync-Point 140, Time: 0.205078, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 141, Time: 0.206543, Systemstep: 0.00146484, Nsync-grv:      15411, Nsync-hyd:          0

Sync-Point 142, Time: 0.208008, Systemstep: 0.00146484, Nsync-grv:      32067, Nsync-hyd:          0

Sync-Point 143, Time: 0.209473, Systemstep: 0.00146484, Nsync-grv:      15419, Nsync-hyd:          0

Sync-Point 144, Time: 0.210938, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 145, Time: 0.212402, Systemstep: 0.00146484, Nsync-grv:      15446, Nsync-hyd:          0

Sync-Point 146, Time: 0.213867, Systemstep: 0.00146484, Nsync-grv:      32101, Nsync-hyd:          0

Sync-Point 147, Time: 0.215332, Systemstep: 0.00146484, Nsync-grv:      15462, Nsync-hyd:          0

Sync-Point 148, Time: 0.216797, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 149, Time: 0.218262, Systemstep: 0.00146484, Nsync-grv:      15459, Nsync-hyd:          0

Sync-Point 150, Time: 0.219727, Systemstep: 0.00146484, Nsync-grv:      32120, Nsync-hyd:          0

Sync-Point 151, Time: 0.221191, Systemstep: 0.00146484, Nsync-grv:      15463, Nsync-hyd:          0

Sync-Point 152, Time: 0.222656, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 153, Time: 0.224121, Systemstep: 0.00146484, Nsync-grv:      15466, Nsync-hyd:          0

Sync-Point 154, Time: 0.225586, Systemstep: 0.00146484, Nsync-grv:      32168, Nsync-hyd:          0

Sync-Point 155, Time: 0.227051, Systemstep: 0.00146484, Nsync-grv:      15459, Nsync-hyd:          0

Sync-Point 156, Time: 0.228516, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 157, Time: 0.22998, Systemstep: 0.00146484, Nsync-grv:      15453, Nsync-hyd:          0

Sync-Point 158, Time: 0.231445, Systemstep: 0.00146484, Nsync-grv:      32210, Nsync-hyd:          0

Sync-Point 159, Time: 0.23291, Systemstep: 0.00146484, Nsync-grv:      15452, Nsync-hyd:          0

Sync-Point 160, Time: 0.234375, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 161, Time: 0.23584, Systemstep: 0.00146484, Nsync-grv:      15470, Nsync-hyd:          0

Sync-Point 162, Time: 0.237305, Systemstep: 0.00146484, Nsync-grv:      32272, Nsync-hyd:          0

Sync-Point 163, Time: 0.23877, Systemstep: 0.00146484, Nsync-grv:      15485, Nsync-hyd:          0

