
Step(*): 0, t: 0, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step: 57, t: 0.0834961, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 58, t: 0.0849609, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 59, t: 0.0864258, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 60, t: 0.0878906, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 61, t: 0.0893555, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 62, t: 0.0908203, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 63, t: 0.0922852, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 64, t: 0.09375, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 65, t: 0.0952148, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 66, t: 0.0966797, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 67, t: 0.0981445, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 68, t: 0.0996094, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 69, t: 0.101074, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 70, t: 0.102539, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 71, t: 0.104004, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 72, t: 0.105469, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 73, t: 0.106934, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 74, t: 0.108398, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 75, t: 0.109863, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 76, t: 0.111328, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 77, t: 0.112793, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 78, t: 0.114258, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 79, t: 0.115723, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 80, t: 0.117188, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 81, t: 0.118652, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 82, t: 0.120117, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 83, t: 0.121582, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 84, t: 0.123047, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 85, t: 0.124512, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 86, t: 0.125977, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 87, t: 0.127441, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 88, t: 0.128906, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 89, t: 0.130371, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 90, t: 0.131836, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 91, t: 0.133301, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 92, t: 0.134766, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 93, t: 0.13623, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 94, t: 0.137695, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 95, t: 0.13916, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 96, t: 0.140625, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 97, t: 0.14209, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 98, t: 0.143555, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 99, t: 0.14502, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 100, t: 0.146484, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 101, t: 0.147949, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 102, t: 0.149414, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 103, t: 0.150879, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 104, t: 0.152344, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 105, t: 0.153809, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

